* Measurement data measured by REW V5.19
* Source: /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 5, 2019 5:31:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 80.0 dB
* Note: Measurement imported from /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt Format: Comma/Tab/Space delimited data 60155 values loaded, 20 Hz to 22,049 Hz
* Measurement: KITCHEN NO SMOOTH.tx
* Smoothing: Variable
* Frequency Step: 0.25 Hz
* Start Frequency: 20.142 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
79.892 78.819 0.000
80.142 78.850 0.000
80.392 78.888 0.000
80.642 78.937 0.000
80.892 78.997 0.000
81.142 79.070 0.000
81.392 79.157 0.000
81.642 79.259 0.000
81.892 79.377 0.000
82.142 79.513 0.000
82.392 79.666 0.000
82.642 79.837 0.000
82.892 80.021 0.000
83.142 80.214 0.000
83.392 80.408 0.000
83.642 80.594 0.000
83.892 80.763 0.000
84.142 80.908 0.000
84.392 81.023 0.000
84.642 81.105 0.000
84.892 81.151 0.000
85.142 81.162 0.000
85.392 81.141 0.000
85.642 81.091 0.000
85.892 81.015 0.000
86.142 80.920 0.000
86.392 80.812 0.000
86.642 80.695 0.000
86.892 80.580 0.000
87.142 80.473 0.000
87.392 80.383 0.000
87.642 80.316 0.000
87.892 80.278 0.000
88.142 80.270 0.000
88.392 80.289 0.000
88.642 80.331 0.000
88.892 80.388 0.000
89.142 80.454 0.000
89.392 80.523 0.000
89.642 80.590 0.000
89.892 80.652 0.000
90.142 80.709 0.000
90.392 80.758 0.000
90.642 80.799 0.000
90.892 80.828 0.000
91.142 80.843 0.000
91.392 80.839 0.000
91.642 80.813 0.000
91.892 80.762 0.000
92.142 80.682 0.000
92.392 80.573 0.000
92.642 80.434 0.000
92.892 80.267 0.000
93.142 80.072 0.000
93.392 79.854 0.000
93.642 79.613 0.000
93.892 79.354 0.000
94.142 79.078 0.000
94.392 78.788 0.000
94.642 78.486 0.000
94.892 78.173 0.000
95.142 77.852 0.000
95.392 77.525 0.000
95.642 77.196 0.000
95.892 76.868 0.000
96.142 76.549 0.000
96.392 76.246 0.000
96.642 75.968 0.000
96.892 75.722 0.000
97.142 75.515 0.000
97.392 75.347 0.000
97.642 75.213 0.000
97.892 75.106 0.000
98.142 75.013 0.000
98.392 74.924 0.000
98.642 74.831 0.000
98.892 74.733 0.000
99.142 74.634 0.000
99.392 74.542 0.000
99.642 74.471 0.000
99.892 74.436 0.000
100.142 74.450 0.000
100.392 74.519 0.000
100.642 74.644 0.000
100.892 74.820 0.000
101.142 75.036 0.000
101.392 75.281 0.000
101.642 75.543 0.000
101.892 75.812 0.000
102.142 76.078 0.000
102.392 76.334 0.000
102.642 76.574 0.000
102.892 76.791 0.000
103.142 76.980 0.000
103.392 77.135 0.000
103.642 77.252 0.000
103.892 77.328 0.000
104.142 77.360 0.000
104.392 77.346 0.000
104.642 77.287 0.000
104.892 77.188 0.000
105.142 77.053 0.000
105.392 76.892 0.000
105.642 76.714 0.000
105.892 76.533 0.000
106.142 76.359 0.000
106.392 76.203 0.000
106.642 76.071 0.000
106.892 75.969 0.000
107.142 75.895 0.000
107.392 75.846 0.000
107.642 75.819 0.000
107.892 75.811 0.000
108.142 75.818 0.000
108.392 75.840 0.000
108.642 75.875 0.000
108.892 75.924 0.000
109.142 75.986 0.000
109.392 76.057 0.000
109.642 76.136 0.000
109.892 76.216 0.000
110.142 76.294 0.000
110.392 76.364 0.000
110.642 76.422 0.000
110.892 76.462 0.000
111.142 76.481 0.000
111.392 76.477 0.000
111.642 76.446 0.000
111.892 76.387 0.000
112.142 76.300 0.000
112.392 76.185 0.000
112.642 76.046 0.000
112.892 75.886 0.000
113.142 75.712 0.000
113.392 75.532 0.000
113.642 75.352 0.000
113.892 75.182 0.000
114.142 75.028 0.000
114.392 74.894 0.000
114.642 74.781 0.000
114.892 74.687 0.000
115.142 74.609 0.000
115.392 74.541 0.000
115.642 74.478 0.000
115.892 74.413 0.000
116.142 74.345 0.000
116.392 74.271 0.000
116.642 74.188 0.000
116.892 74.098 0.000
117.142 74.000 0.000
117.392 73.894 0.000
117.642 73.781 0.000
117.892 73.661 0.000
118.142 73.533 0.000
118.392 73.398 0.000
118.642 73.256 0.000
118.892 73.107 0.000
119.142 72.953 0.000
119.392 72.795 0.000
119.642 72.634 0.000
119.892 72.473 0.000
120.142 72.314 0.000
120.392 72.162 0.000
120.642 72.019 0.000
120.892 71.890 0.000
121.142 71.780 0.000
121.392 71.692 0.000
121.642 71.630 0.000
121.892 71.595 0.000
122.142 71.589 0.000
122.392 71.610 0.000
122.642 71.656 0.000
122.892 71.725 0.000
123.142 71.812 0.000
123.392 71.914 0.000
123.642 72.027 0.000
123.892 72.149 0.000
124.142 72.279 0.000
124.392 72.414 0.000
124.642 72.556 0.000
124.892 72.705 0.000
125.142 72.862 0.000
125.392 73.031 0.000
125.642 73.212 0.000
125.892 73.409 0.000
126.142 73.622 0.000
126.392 73.853 0.000
126.642 74.102 0.000
126.892 74.368 0.000
127.142 74.653 0.000
127.392 74.953 0.000
127.642 75.270 0.000
127.892 75.602 0.000
128.142 75.950 0.000
128.392 76.312 0.000
128.642 76.689 0.000
128.892 77.081 0.000
129.142 77.487 0.000
129.392 77.907 0.000
129.642 78.340 0.000
129.892 78.785 0.000
130.142 79.241 0.000
130.392 79.706 0.000
130.642 80.179 0.000
130.892 80.657 0.000
131.142 81.138 0.000
131.392 81.620 0.000
131.642 82.099 0.000
131.892 82.571 0.000
132.142 83.032 0.000
132.392 83.478 0.000
132.642 83.903 0.000
132.892 84.304 0.000
133.142 84.676 0.000
133.392 85.015 0.000
133.642 85.317 0.000
133.892 85.579 0.000
134.142 85.799 0.000
134.392 85.975 0.000
134.642 86.106 0.000
134.892 86.193 0.000
135.142 86.234 0.000
135.392 86.232 0.000
135.642 86.189 0.000
135.892 86.105 0.000
136.142 85.985 0.000
136.392 85.831 0.000
136.642 85.649 0.000
136.892 85.441 0.000
137.142 85.213 0.000
137.392 84.971 0.000
137.642 84.718 0.000
137.892 84.461 0.000
138.142 84.204 0.000
138.392 83.954 0.000
138.642 83.714 0.000
138.892 83.490 0.000
139.142 83.283 0.000
139.392 83.099 0.000
139.642 82.937 0.000
139.892 82.801 0.000
140.142 82.689 0.000
140.392 82.601 0.000
140.642 82.537 0.000
140.892 82.495 0.000
141.142 82.472 0.000
141.392 82.469 0.000
141.642 82.482 0.000
141.892 82.510 0.000
142.142 82.552 0.000
142.392 82.605 0.000
142.642 82.669 0.000
142.892 82.743 0.000
143.142 82.825 0.000
143.392 82.914 0.000
143.642 83.009 0.000
143.892 83.109 0.000
144.142 83.213 0.000
144.392 83.319 0.000
144.642 83.426 0.000
144.892 83.533 0.000
145.142 83.637 0.000
145.392 83.737 0.000
145.642 83.832 0.000
145.892 83.918 0.000
146.142 83.996 0.000
146.392 84.061 0.000
146.642 84.113 0.000
146.892 84.150 0.000
147.142 84.171 0.000
147.392 84.173 0.000
147.642 84.156 0.000
147.892 84.119 0.000
148.142 84.062 0.000
148.392 83.985 0.000
148.642 83.887 0.000
148.892 83.770 0.000
149.142 83.633 0.000
149.392 83.479 0.000
149.642 83.308 0.000
149.892 83.122 0.000
150.142 82.922 0.000
150.392 82.710 0.000
150.642 82.488 0.000
150.892 82.257 0.000
151.142 82.020 0.000
151.392 81.778 0.000
151.642 81.533 0.000
151.892 81.287 0.000
152.142 81.041 0.000
152.392 80.799 0.000
152.642 80.561 0.000
152.892 80.330 0.000
153.142 80.109 0.000
153.392 79.899 0.000
153.642 79.703 0.000
153.892 79.524 0.000
154.142 79.364 0.000
154.392 79.225 0.000
154.642 79.109 0.000
154.892 79.018 0.000
155.142 78.954 0.000
155.392 78.916 0.000
155.642 78.905 0.000
